agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta,0,,{},8,0.037024158984422684,0.0029230841901153326,early,4,alpha_beta_d5_b8,64,5,5,5,adaptive_disabled,False,5,0.1502290409989655,35,0.10094053251668811,434,1686,0.000501041067764163,563,0,3882,0.0002223739866167307,seed0_early_t0,fixed,3297,0,0.022362798918038607,0.008239377522841096,5000,0,0.0,normal,1686,0.5,0.017962916987016797,597.0,0,1→35,8,,tuning,1,True,0,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.009330544620752335,0.002166791120544076,middle,2,alpha_beta_d5_b8,27,5,5,5,adaptive_disabled,False,5,0.04309212486259639,63,0.028374637942761183,124,2,7.00005330145359e-06,191,0,970,5.3749652579426765e-05,seed0_middle_t27,fixed,779,0,0.011609872104600072,0.0030089900828897953,2,0,0.0,critical,2,1.0,3.787502646446228e-05,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.03069228888489306,0.0034844158217310905,late,8,alpha_beta_d5_b8,121,5,5,5,adaptive_disabled,False,5,0.08240916696377099,28,0.04120745277032256,205,23,1.4499993994832039e-05,462,0,3810,3.933487460017204e-05,seed0_late_t49,fixed,3348,0,0.0342654213309288,0.006661791820079088,78,0,0.0,normal,23,1.0,0.00022066617384552956,999995.0,0,11→28,8,,tuning,11,False,49,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.03032733383588493,0.0035933766048401594,early,3,alpha_beta_d5_b8,76,5,5,5,adaptive_disabled,False,5,0.15010629105381668,35,0.10647000721655786,373,1678,0.0010269999038428068,508,0,4222,8.095847442746162e-05,seed1_early_t0,fixed,3664,0,0.02276066644117236,0.008178534219041467,5000,0,0.0,normal,1678,0.375,0.01158912479877472,758.5,1,13→35,8,,tuning,13,True,0,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.03191433963365853,0.004631538642570376,middle,4,alpha_beta_d5_b8,119,5,5,5,adaptive_disabled,False,5,0.15005700010806322,49,0.10100189736112952,466,37,1.7209211364388466e-05,675,0,3764,3.474880941212177e-05,seed1_middle_t120,fixed,3031,0,0.03686313237994909,0.011891762260347605,90,0,0.0,normal,37,0.5,0.0002482500858604908,768.0,1,9→49,8,,tuning,9,True,120,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},8,0.0015826229937374592,0.00018450175411999226,late,3,alpha_beta_d5_b8,10,5,5,5,adaptive_disabled,False,5,0.0024763750843703747,63,0.00031433277763426304,6,3,8.290866389870644e-06,23,0,224,0.00011100131087005138,seed1_late_t236,fixed,194,0,0.001733583863824606,0.0002489164471626282,4,0,0.0,danger,3,1.0,6.02498184889555e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d5_b8,True,True,,
alpha_beta,0,,{},12,0.02841928764246404,0.0031510426197201014,early,3,alpha_beta_d5_b12,48,5,5,5,adaptive_disabled,False,5,0.15017208294011652,35,0.10716758202761412,379,1686,0.0003934998530894518,473,0,3299,0.00014083296991884708,seed0_early_t0,fixed,2807,0,0.020133414771407843,0.01008787821047008,5000,0,0.0,normal,1686,0.25,0.012248875107616186,597.0,0,1→35,12,,tuning,1,True,0,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.011827416019514203,0.002071079332381487,middle,2,alpha_beta_d5_b12,40,5,5,5,adaptive_disabled,False,5,0.08293500007130206,63,0.06313838460482657,264,2,7.791910320520401e-06,367,0,1501,4.7291163355112076e-05,seed0_middle_t27,fixed,1129,0,0.01406938023865223,0.00561719317920506,2,0,0.0,critical,2,1.0,5.4958974942564964e-05,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.04951621382497251,0.005992911988869309,late,4,alpha_beta_d5_b12,187,5,5,5,adaptive_disabled,False,5,0.1500851670280099,58,0.08279967936687171,354,23,1.300009898841381e-05,731,0,5966,4.474981687963009e-05,seed0_late_t49,fixed,5188,0,0.05578166292980313,0.011227782815694809,78,0,0.0,normal,23,0.3333333333333333,0.00021829199977219105,797.0,0,11→58,12,,tuning,11,True,49,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.03188716759905219,0.0035473769530653954,early,3,alpha_beta_d5_b12,51,5,5,5,adaptive_disabled,False,5,0.1501648749690503,35,0.10544440988451242,373,1678,0.0005263751372694969,472,0,3584,0.00010116677731275558,seed1_early_t0,fixed,3053,0,0.02148091862909496,0.008239087415859103,5000,0,0.0,normal,1678,0.25,0.01437291712500155,758.5,1,13→35,12,,tuning,13,True,0,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.022622416960075498,0.0034071290865540504,middle,2,alpha_beta_d5_b12,67,5,5,5,adaptive_disabled,False,5,0.15011029108427465,20,0.11179448524489999,427,37,3.541586920619011e-05,539,0,2268,6.63332175463438e-05,seed1_middle_t120,fixed,1666,0,0.025834667729213834,0.011734514031559229,90,0,0.0,normal,37,0.16666666666666666,0.0006448749918490648,667.0,1,9→20,12,,tuning,9,True,120,False,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},12,0.0020010010339319706,0.00022091669961810112,late,3,alpha_beta_d5_b12,14,5,5,5,adaptive_disabled,False,5,0.0034516670275479555,63,0.0003132508136332035,10,3,6.666872650384903e-06,31,0,291,6.312504410743713e-05,seed1_late_t236,fixed,253,0,0.00220250035636127,0.0008132078219205141,4,0,0.0,danger,3,1.0,5.291611887514591e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d5_b12,True,True,,
alpha_beta,0,,{},16,0.03007958666421473,0.003455749014392495,early,2,alpha_beta_d5_b16,42,5,5,5,adaptive_disabled,False,5,0.15020733303390443,35,0.10661628330126405,410,1686,0.0009237919002771378,493,0,3144,0.0001630422193557024,seed0_early_t0,fixed,2618,0,0.015903708757832646,0.008633340941742063,5000,0,0.0,normal,1686,0.125,0.017967165913432837,597.0,0,1→35,16,,tuning,1,True,0,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.02480900357477367,0.0037018288858234882,middle,2,alpha_beta_d5_b16,50,5,5,5,adaptive_disabled,False,5,0.1395495419856161,63,0.10039124498143792,336,2,1.2082979083061218e-05,463,0,1927,7.266667671501637e-05,seed0_middle_t27,fixed,1444,0,0.028794161044061184,0.010194969130679965,2,0,0.0,critical,2,1.0,8.441717363893986e-05,827.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.053367414278909564,0.010657580103725195,late,0,alpha_beta_d5_b16,160,5,5,5,adaptive_disabled,False,5,0.15014904201962054,58,0.07401166623458266,264,23,1.7625046893954277e-05,587,0,5313,6.483402103185654e-05,seed0_late_t49,fixed,4664,0,0.06430653808638453,0.011439503636211157,78,0,0.0,normal,23,0.0,0.0003088749945163727,-767.0,0,11→58,16,,tuning,11,True,49,False,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.026501250686123967,0.002684498904272914,early,3,alpha_beta_d5_b16,46,5,5,5,adaptive_disabled,False,5,0.1501804580911994,35,0.11125491606071591,415,1678,0.0005996671970933676,506,0,3430,0.00013829069212079048,seed1_early_t0,fixed,2856,0,0.01588845974765718,0.00843079132027924,5000,0,0.0,normal,1678,0.1875,0.013868333073332906,758.5,1,13→35,16,,tuning,13,True,0,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.021531247766688466,0.003182334126904607,middle,0,alpha_beta_d5_b16,65,5,5,5,adaptive_disabled,False,5,0.15007212501950562,20,0.11603183997794986,458,37,3.2292213290929794e-05,558,0,2198,4.137400537729263e-05,seed1_middle_t120,fixed,1586,0,0.02443183260038495,0.008901744382455945,90,0,0.0,normal,37,0.0,0.0006330418400466442,-58.5,1,9→20,16,,tuning,9,True,120,False,alpha_beta_d5_b16,True,True,,
