alpha_beta_agreement,alpha_beta_end_id,alpha_beta_is_reference_not_ground_truth,alpha_beta_start_id,alpha_beta_timed_out,graph_end_id,graph_start_id,greedy_agreement,greedy_end_id,greedy_start_id,match_id,remaining_bin,remaining_word_rate,turn
False,9,True,12,False,28,12,False,9,12,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.997,4
True,7,True,16,False,7,16,True,7,16,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.993,8
True,9,True,65,False,9,65,True,9,65,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.991,10
False,0,True,10,False,2,10,True,2,10,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.989,12
False,9,True,8,False,63,8,True,63,8,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.987,14
True,55,True,63,False,55,63,True,55,63,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.985,16
False,5,True,10,False,1,10,True,1,10,D1000_seed0_minimax_vs_graph_control_rep0,80-100%,0.981,20
True,19,True,42,False,19,42,True,19,42,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.999,2
True,63,True,46,False,63,46,True,63,46,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.997,4
True,55,True,63,False,55,63,True,55,63,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.995,6
True,10,True,66,False,10,66,True,10,66,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.993,8
True,28,True,20,False,28,20,True,28,20,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.989,12
False,9,True,65,False,58,65,True,58,65,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.987,14
False,5,True,16,False,7,16,True,7,16,D1000_seed0_alpha_beta_vs_graph_control_rep0,80-100%,0.985,16
True,19,True,42,False,19,42,True,19,42,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.999,2
True,63,True,46,False,63,46,True,63,46,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.997,4
True,10,True,66,False,10,66,True,10,66,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.993,8
False,55,True,2,False,37,2,True,37,2,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.991,10
True,28,True,20,False,28,20,True,28,20,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.989,12
False,9,True,65,False,58,65,True,58,65,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.987,14
False,5,True,16,False,7,16,True,7,16,D1000_seed0_pvs_vs_graph_control_rep0,80-100%,0.985,16
True,16,True,58,False,16,58,False,10,58,D1000_seed0_beam_negamax_vs_graph_control_rep0,80-100%,0.997,4
False,58,True,5,False,34,5,False,61,5,D1000_seed0_beam_negamax_vs_graph_control_rep0,80-100%,0.995,6
False,10,True,9,False,61,9,False,10,9,D1000_seed0_beam_negamax_vs_graph_control_rep0,80-100%,0.993,8
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_random_rep0,80-100%,1.0,1
False,9,True,28,False,65,28,False,58,28,D1000_seed0_graph_control_vs_random_rep0,80-100%,0.998,3
True,61,True,55,False,61,55,True,61,55,D1000_seed0_graph_control_vs_random_rep0,80-100%,0.994,7
True,63,True,63,False,63,63,True,63,63,D1000_seed0_graph_control_vs_random_rep0,80-100%,0.992,9
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_random_rep1,80-100%,1.0,1
False,9,True,28,False,65,28,False,58,28,D1000_seed0_graph_control_vs_random_rep1,80-100%,0.998,3
False,9,True,0,False,63,0,False,14,0,D1000_seed0_graph_control_vs_random_rep1,80-100%,0.996,5
True,16,True,58,False,16,58,False,10,58,D1000_seed0_graph_control_vs_random_rep1,80-100%,0.992,9
False,58,True,5,False,34,5,False,61,5,D1000_seed0_graph_control_vs_random_rep1,80-100%,0.99,11
True,63,True,62,False,63,62,True,63,62,D1000_seed0_graph_control_vs_random_rep1,80-100%,0.988,13
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_greedy_rep0,80-100%,1.0,1
False,9,True,28,False,65,28,False,58,28,D1000_seed0_graph_control_vs_greedy_rep0,80-100%,0.998,3
False,9,True,7,False,63,7,True,63,7,D1000_seed0_graph_control_vs_greedy_rep0,80-100%,0.994,7
True,55,True,63,False,55,63,True,55,63,D1000_seed0_graph_control_vs_greedy_rep0,80-100%,0.992,9
True,63,True,61,False,63,61,True,63,61,D1000_seed0_graph_control_vs_greedy_rep0,80-100%,0.99,11
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_monte_carlo_rep0,80-100%,1.0,1
False,9,True,28,False,65,28,False,58,28,D1000_seed0_graph_control_vs_monte_carlo_rep0,80-100%,0.998,3
True,55,True,63,False,55,63,True,55,63,D1000_seed0_graph_control_vs_monte_carlo_rep0,80-100%,0.994,7
True,39,True,66,False,39,66,False,10,66,D1000_seed0_graph_control_vs_monte_carlo_rep0,80-100%,0.992,9
False,9,True,28,False,58,28,True,58,28,D1000_seed0_graph_control_vs_monte_carlo_rep0,80-100%,0.99,11
False,28,True,55,False,61,55,True,61,55,D1000_seed0_graph_control_vs_monte_carlo_rep0,80-100%,0.988,13
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_monte_carlo_rep1,80-100%,1.0,1
False,9,True,2,False,8,2,True,8,2,D1000_seed0_graph_control_vs_monte_carlo_rep1,80-100%,0.996,5
True,63,True,63,False,63,63,True,63,63,D1000_seed0_graph_control_vs_monte_carlo_rep1,80-100%,0.994,7
False,66,True,55,False,61,55,True,61,55,D1000_seed0_graph_control_vs_monte_carlo_rep1,80-100%,0.992,9
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,1.0,1
False,9,True,2,False,37,2,True,37,2,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.998,3
False,9,True,65,False,58,65,True,58,65,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.994,7
True,7,True,16,False,7,16,True,7,16,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.992,9
True,9,True,65,False,9,65,True,9,65,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.99,11
False,0,True,10,False,2,10,True,2,10,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.988,13
False,9,True,8,False,63,8,True,63,8,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.986,15
True,9,True,2,False,9,2,True,9,2,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.982,19
False,5,True,64,False,9,64,True,9,64,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.98,21
False,2,True,5,False,34,5,False,61,5,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.978,23
True,61,True,9,False,61,9,True,61,9,D1000_seed0_graph_control_vs_minimax_rep0,80-100%,0.976,25
False,42,True,4,False,24,54,False,63,63,D1000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,1.0,1
True,61,True,9,False,61,9,False,10,9,D1000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,0.996,5
False,0,True,46,False,63,46,True,63,46,D1000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,0.994,7
True,55,True,63,False,55,63,True,55,63,D1000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,0.992,9
True,39,True,66,False,39,66,False,10,66,D1000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,0.99,11
True,2,True,10,False,2,10,True,2,10,D1000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,0.988,13
